;line;order;counter_start;counter_end;shift;puco_code;sheets;date_stop;status;minutes
248;LZ-01;10182;126;8386;1;RUN;0;2021-03-21 11:42:37;RUN;0 days 00:00:06
249;LZ-01;10182;126;8386;1;OGE04;0;2021-03-21 11:44:42;STOP;0 days 00:02:05
250;LZ-01;10182;126;8386;1;RUN;0;2021-03-21 11:44:47;RUN;0 days 00:00:05
251;LZ-01;10182;126;8386;1;OGE04;0;2021-03-21 11:45:13;STOP;0 days 00:00:26
252;LZ-01;10182;126;8386;1;RUN;0;2021-03-21 11:45:21;RUN;0 days 00:00:08
253;LZ-01;10182;126;8386;1;OGE04;0;2021-03-21 11:47:01;STOP;0 days 00:01:40
254;LZ-01;10182;126;8386;1;RUN;0;2021-03-21 11:47:06;RUN;0 days 00:00:05
255;LZ-01;10182;126;8386;1;OGE04;0;2021-03-21 11:47:38;STOP;0 days 00:00:32
256;LZ-01;10182;126;8386;1;RUN;0;2021-03-21 11:47:43;RUN;0 days 00:00:05
257;LZ-01;10182;126;8386;1;OGE04;0;2021-03-21 11:48:33;STOP;0 days 00:00:50
258;LZ-01;10182;126;8386;1;RUN;0;2021-03-21 11:48:40;RUN;0 days 00:00:07
259;LZ-01;10182;126;8386;1;OGE04;0;2021-03-21 11:51:21;STOP;0 days 00:02:41
260;LZ-01;10182;126;8386;1;RUN;0;2021-03-21 11:51:32;RUN;0 days 00:00:11
261;LZ-01;10182;126;8386;1;OGE04;0;2021-03-21 11:53:05;STOP;0 days 00:01:33
262;LZ-01;10182;126;8386;1;RUN;0;2021-03-21 11:53:17;RUN;0 days 00:00:12
263;LZ-01;10182;126;8386;1;OGE04;0;2021-03-21 11:54:53;STOP;0 days 00:01:36
264;LZ-01;10182;129;8386;1;RUN;0;2021-03-21 11:54:58;RUN;0 days 00:00:05
265;LZ-01;10182;129;8386;1;OGE04;0;2021-03-21 11:56:12;STOP;0 days 00:01:14
